pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_insol,pl_eqt,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist,sy_jmag,sy_hmag,sy_kmag
"Kepler-1073 c","Kepler-1073",2016,"Transit",4.02582254000,1.64000000,357.0820,1169.00,0.02653000,2.7665000,5792.00,1.000000,1.000000,0.0000,809.89700000,13.3320000,12.9570000,12.9240000
"Kepler-701 b","Kepler-701",2016,"Transit",10.35533177000,2.84000000,75.6230,777.00,0.07506000,3.4276000,5343.00,0.840000,0.880000,0.0000,774.15200000,13.6560000,13.2790000,13.1410000
"Kepler-1611 b","Kepler-1611",2016,"Transit",5.17624290000,0.81000000,146.2200,1243.00,0.00787000,5.1500000,5605.00,0.930000,0.940000,0.0100,908.44400000,13.1370000,12.7820000,12.6890000
"Kepler-624 b","Kepler-624",2016,"Transit",14.58649607000,2.31000000,130.7570,852.00,0.03787000,4.0393000,6117.00,1.180000,1.100000,-0.0600,748.18800000,12.5140000,12.1950000,12.2050000
"Kepler-1462 b","Kepler-1462",2016,"Transit",65.64883410000,3.82000000,4.7040,390.00,0.09839000,7.4310000,5756.00,1.000000,1.000000,0.0600,1017.82000000,14.4710000,14.0780000,14.0580000
"Kepler-1500 b","Kepler-1500",2016,"Transit",15.03301050000,1.20000000,131.8180,928.00,0.01322000,5.4160000,5845.00,1.000000,1.000000,-0.0500,1217.82000000,13.4760000,13.1490000,13.0300000
"Kepler-1522 b","Kepler-1522",2016,"Transit",1.84788917100,1.73000000,1513.4570,1374.00,0.03233000,1.8934000,5706.00,0.930000,0.960000,-0.0700,814.12500000,13.0970000,12.7290000,12.6210000
"Kepler-625 b","Kepler-625",2016,"Transit",7.75192492000,1.99000000,407.8330,852.00,0.04060000,3.4849000,5789.00,0.960000,1.040000,0.1000,760.70800000,12.2030000,11.9380000,11.9050000
"Kepler-1612 b","Kepler-1612",2016,"Transit",3.91795101000,1.03000000,269.2480,1030.00,0.01165000,2.5860000,5643.00,0.940000,0.960000,0.0300,764.72600000,13.4980000,13.1410000,13.0750000
"Kepler-1464 b","Kepler-1464",2016,"Transit",31.77859010000,1.66000000,89.4730,564.00,0.02620000,8.0560000,5828.00,1.010000,1.020000,0.0300,1151.73000000,12.8820000,12.5360000,12.5070000
"Kepler-1464 c","Kepler-1464",2016,"Transit",5.32786292000,1.00000000,968.5550,1023.00,0.00872000,4.6780000,5828.00,1.010000,1.020000,0.0300,1151.73000000,12.8820000,12.5360000,12.5070000
"Kepler-1504 b","Kepler-1504",2016,"Transit",82.30400300000,2.13000000,25.1700,485.00,0.07370000,13.8430000,5393.00,0.810000,0.850000,-0.1700,2435.94000000,14.4090000,13.9980000,13.8340000
"Kepler-1505 b","Kepler-1505",2016,"Transit",30.86093660000,0.93000000,36.1210,525.00,0.01289000,4.1090000,5686.00,0.860000,0.930000,-0.1800,495.14800000,11.8300000,11.4970000,11.4060000
"Kepler-1523 b","Kepler-1523",2016,"Transit",0.93875077000,1.58000000,2218.1450,1676.00,0.02807000,1.3901000,5708.00,0.960000,0.970000,0.0000,865.59600000,13.6550000,13.3030000,13.1820000
"Kepler-1613 b","Kepler-1613",2016,"Transit",1.51842990000,2.08000000,6797.6230,1926.00,0.01968000,3.4140000,6005.00,1.120000,1.080000,0.0100,1508.33000000,12.9990000,12.7310000,12.6530000
"Kepler-1614 b","Kepler-1614",2016,"Transit",3.94661410000,1.49000000,276.3730,981.00,0.03094000,2.8360000,5121.00,0.760000,0.790000,-0.1700,1191.19000000,14.5880000,14.0530000,14.0010000
"Kepler-1468 b","Kepler-1468",2016,"Transit",8.23984869000,1.73000000,481.3520,1093.00,0.02510000,5.6170000,5893.00,1.050000,1.040000,0.0300,1899.24000000,13.8450000,13.4970000,13.4580000
"Kepler-1507 b","Kepler-1507",2016,"Transit",16.05062130000,0.84000000,30.4760,630.00,0.00944000,2.9390000,5410.00,0.850000,0.890000,-0.0300,320.47800000,11.8660000,11.4610000,11.3860000
"Kepler-1509 b","Kepler-1509",2016,"Transit",25.43381970000,1.85000000,83.0810,667.00,0.03020000,6.4240000,5780.00,0.990000,1.000000,0.0300,2002.96000000,14.2000000,13.8640000,13.8870000
"Kepler-1524 b","Kepler-1524",2016,"Transit",70.96746030000,3.54000000,8.4430,438.00,0.07847000,6.8992000,6179.00,1.250000,1.170000,0.0400,381.77300000,11.6220000,11.3240000,11.2630000
"Kepler-1616 b","Kepler-1616",2016,"Transit",6.76284377000,1.02000000,724.8610,1337.00,0.00567000,5.8720000,6266.00,1.340000,1.210000,0.0200,1137.81000000,12.5230000,12.2630000,12.2280000
"Kepler-1645 b","Kepler-1645",2016,"Transit",16.17795610000,1.78000000,138.5380,754.00,0.02985000,5.2690000,5812.00,1.020000,1.020000,0.0400,1202.47000000,13.2860000,12.9490000,12.8970000
"Kepler-741 b","Kepler-741",2016,"Transit",7.03902374000,2.97000000,461.9930,1051.00,0.05298000,3.8898000,6129.00,1.240000,1.160000,0.0700,1661.87000000,13.9900000,13.7460000,13.6930000
"Kepler-564 b","Kepler-564",2016,"Transit",3.75083228500,4.63000000,389.4040,1129.00,0.23979000,1.9591300,5626.00,0.920000,0.950000,-0.0100,863.03700000,13.5500000,13.1640000,13.0900000
"Kepler-594 b","Kepler-594",2016,"Transit",13.64618192000,2.18000000,59.3960,678.00,0.06330000,3.3740000,5485.00,0.870000,0.910000,-0.0300,769.20000000,13.4800000,13.1040000,13.0010000
"Kepler-154 d","Kepler-154",2016,"Transit",20.54981883000,3.84000000,53.0020,657.00,0.15643000,5.4586000,5769.00,0.980000,0.980000,-0.0400,915.21200000,13.3890000,13.0890000,12.9860000
"Kepler-642 b","Kepler-642",2016,"Transit",4.41745855000,2.90000000,719.3730,1810.00,0.02920000,2.9563000,6570.00,1.660000,1.400000,0.0600,781.58200000,12.3630000,12.1520000,12.0950000
"Kepler-726 b","Kepler-726",2016,"Transit",21.80451088000,3.26000000,25.2960,543.00,0.11449000,3.3931000,5452.00,0.850000,0.880000,-0.0900,762.08100000,13.8100000,13.3810000,13.3290000
"Kepler-674 b","Kepler-674",2016,"Transit",2.24338184700,1.69000000,146.5110,822.00,0.08217000,1.0205000,4192.00,0.570000,0.600000,-0.2700,342.25400000,13.2130000,12.5210000,12.3940000
"Kepler-712 b","Kepler-712",2016,"Transit",21.02247699000,3.41000000,15.8010,521.00,0.17725000,4.0906000,5148.00,0.780000,0.840000,-0.0300,872.49300000,14.3990000,13.9820000,13.8410000
"Kepler-1388 e","Kepler-1388",2016,"Transit",37.63270840000,2.46000000,3.9700,299.00,0.16617000,4.5470000,4098.00,0.610000,0.630000,0.0200,453.79500000,14.2220000,13.5160000,13.3430000
"Kepler-655 b","Kepler-655",2016,"Transit",46.40633580000,2.71000000,28.7670,588.00,0.04735000,6.9941000,6170.00,1.240000,1.150000,0.0000,752.56200000,12.4950000,12.2430000,12.2140000
"Kepler-565 b","Kepler-565",2016,"Transit",4.24374722600,3.64000000,301.4600,1063.00,0.14782000,3.3680000,5735.00,0.950000,0.980000,-0.0200,1041.00000000,13.8990000,13.5200000,13.4920000
"Kepler-676 b","Kepler-676",2016,"Transit",11.59822172000,3.04000000,8.2410,396.00,0.28045000,2.6256000,3701.00,0.490000,0.510000,-0.0200,295.19600000,13.4740000,12.8130000,12.6280000
"Kepler-675 b","Kepler-675",2016,"Transit",2.33743801000,2.44000000,308.5470,1070.00,0.09712000,2.0140000,4945.00,0.750000,0.790000,-0.0500,665.68000000,13.8100000,13.3000000,13.1950000
