toi,toipfx,tfopwg_disp,pl_pnum,st_tmag,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_rad
"325.01","325","PC",1,12.0040000,13.8770980,-33.5123050,4.3690700,1.3080000,3970.0000000,5.9471600,26.8795000,634.0000000,4391.0000000,0.9000000
"364.01","364","PC",1,10.4913000,342.2561700,-24.9592950,0.4941631,0.9160000,536.0000000,3.3250000,3757.9800000,,6219.7000000,1.3300000
"426.01","426","PC",1,9.5968900,79.1021930,-15.5102420,1.3205037,2.0155519,469.4537481,2.1611735,1677.1571947,1632.1617353,5731.0000000,0.9892600
"435.01","435","PC",1,12.9383000,59.4105740,-25.1899380,3.3529070,2.3906731,4205.1961016,5.2933196,76.2487269,753.6642219,3978.0000000,0.6728320
"438.01","438","PC",1,9.4464000,56.5046940,9.9902990,5.8123508,2.2002130,957.5741671,2.8132678,113.1261881,831.7839537,5210.8000000,0.7968560
"458.01","458","PC",1,9.6438000,39.1363040,-22.2449960,17.5288347,2.1115133,1131.5075681,2.8950078,25.4510626,572.8570065,5164.0000000,0.8295190
"462.01","462","PC",1,10.6573000,36.2764650,1.3235500,4.1074291,3.0844055,900.9217753,3.9716320,445.4447971,1171.7048355,5205.0000000,1.3005500
"475.01","475","PC",1,10.8835000,86.7483290,-32.5325430,8.2617663,2.5663307,1418.3308985,2.3414536,18.8227716,531.2398464,4105.0000000,0.6194000
"493.01","493","PC",1,11.4479000,119.6277210,12.8832600,5.9444410,2.3016013,2791.4272138,4.4955906,56.0528481,697.8613892,4383.0000000,0.8118650
"494.01","494","PC",1,10.0854000,124.6954070,-6.7859210,1.7018818,1.5510000,570.0000000,1.9635600,400.8270000,1246.0000000,4985.0000000,0.8000000
"518.01","518","PC",1,10.1432000,115.7167800,8.8669060,17.8789700,2.1241010,976.8015790,3.6185240,63.7655934,720.7196301,5596.0000000,1.1367400
"520.01","520","PC",1,9.3777000,102.6579770,-37.9601950,0.5236130,2.3004521,82.9259401,1.4861645,26568.3567102,3256.1988827,7450.0000000,1.5294900
"525.01","525","PC",1,8.7784000,90.1699540,-8.4683410,14.8608019,6.1932625,556.6027212,4.4404093,239.0475595,1002.8611977,7064.0000000,1.6223100
"533.01","533","PC",1,10.9621000,80.0548630,-62.6461860,19.5715862,4.1467964,1677.0138379,3.6067731,20.1362084,540.2741317,4666.1000000,0.8856800
"539.01","539","PC",1,10.5958000,102.5683890,-53.0055030,0.3096062,1.0298929,257.7064685,1.5526965,4942.3861378,2138.4737213,4836.0000000,0.8131250
"553.02","553","PC",2,10.0614000,73.2612860,-45.5404050,11.9234819,3.2410592,680.8032643,2.2904053,55.1644235,695.0795649,5465.0000000,0.8794770
"553.03","553","PC",3,10.0614000,73.2612860,-45.5404050,40.8905117,4.4402791,945.1993965,2.7104157,10.6667755,460.9226376,5465.0000000,0.8794770
"557.01","557","PC",1,11.6434000,59.0178130,-10.2720080,3.3449040,1.3408349,1399.4950568,2.2540532,48.9314538,674.5540894,3883.0000000,0.5739530
"612.01","612","PC",1,10.1939000,110.8818410,-37.8354680,0.9136081,1.0990000,1368.0000000,5.5813000,5597.8700000,2409.0000000,7126.0000000,1.5000000
"678.01","678","PC",1,10.9162000,109.3307340,-55.5979290,11.3298459,4.4750093,821.1284780,3.4134506,100.7059307,807.9481883,5624.0000000,1.0570000
"686.01","686","PC",1,9.9362000,111.6010660,-54.4520650,3.5137609,1.7579691,333.5976712,3.3397496,1686.8366029,1634.5115870,6279.8000000,1.5900700
"687.01","687","PC",1,9.8445000,137.6728150,-45.0988450,36.2995129,4.4333923,1322.2472746,2.2115007,3.1697820,340.3118696,4253.9000000,0.6175190
"695.01","695","PC",1,10.7490000,73.1382350,-64.9288680,21.3764237,4.7666334,786.0019744,2.6824173,23.8245444,563.4766198,5591.0000000,0.8114630
"698.01","698","PC",1,12.1293000,87.7390870,-76.6196100,15.0867738,2.1250291,1911.9221796,2.0905859,3.5705631,350.5935542,3570.0000000,0.4718420
"699.01","699","PC",1,9.8106000,83.3822400,-62.1090220,14.8011934,3.4200000,345.0000000,2.4479600,55.7499000,761.0000000,6138.6000000,1.4200000
"699.02","699","PC",2,9.8106000,83.3822400,-62.1090220,33.6336133,5.3520000,384.0000000,2.3051700,27.3212000,636.0000000,6138.6000000,1.4200000
"702.01","702","PC",1,11.8371000,56.1749490,-65.1983390,3.5681410,1.4556337,906.9993541,2.0483578,49.3636227,676.0386184,4015.0000000,0.5777350
"703.01","703","PC",1,10.2036000,57.9998230,-59.8824420,8.6729683,2.9598885,724.6732153,2.2827100,114.2649808,833.8694004,5384.0000000,0.9100000
"703.02","703","PC",2,10.2036000,57.9998230,-59.8824420,22.5682711,4.9745502,869.8466160,2.4795010,31.9256027,606.2538727,5384.0000000,0.8523040
"705.01","705","PC",1,11.4994000,106.4771480,-72.5587650,47.0196372,5.8659335,1251.7456152,3.1012834,8.6423925,437.2987599,5249.1800000,0.8778770
"707.01","707","PC",1,10.0906000,98.7295890,-67.5372740,52.7993058,6.1194800,541.2696023,2.3982714,10.9718358,464.1833670,5409.2200000,1.0210100
"711.01","711","PC",1,11.7481000,62.5161310,-61.9426680,18.3841259,3.4924479,1010.0989222,2.1505216,10.4112654,458.1372754,4356.0000000,0.6814070
"711.02","711","PC",2,11.7481000,62.5161310,-61.9426680,35.9432773,2.7244261,1178.9674430,2.7375059,4.2586368,366.3847590,4356.0000000,0.6814070
"713.01","713","PC",1,10.6925000,102.0213760,-65.6242570,35.9993588,4.1814011,1086.7362497,2.2253394,3.7788536,355.5983746,4316.7000000,0.6510750
"713.02","713","PC",2,10.6925000,102.0213760,-65.6242570,1.8715209,1.0213466,255.7891339,1.0618157,194.7571992,952.7810913,4316.7000000,0.6510750
"714.01","714","PC",1,11.5436000,92.3924170,-53.8229880,4.3239329,1.5783127,977.2224915,1.5008877,23.7735564,563.1748972,3782.0000000,0.4731410
"714.02","714","PC",2,11.5436000,92.3924170,-53.8229880,10.1775475,2.0401655,943.2876093,1.5705443,7.5929156,423.3717664,3782.0000000,0.4731410
"721.01","721","PC",1,10.1805000,63.1993850,-64.3478050,12.2877358,4.4450000,315.0000000,2.0923200,127.1810000,935.0000000,6008.6200000,1.3000000
"722.01","722","PC",1,11.9755000,62.3795680,-62.8506560,15.3004892,3.1952319,1265.2897827,2.3968761,17.0816408,518.5040418,4082.0000000,0.6607620
