toi,toipfx,st_tmag,ra,dec,pl_rade,pl_orbper,pl_insol,pl_eqt,pl_trandep,predicted_valley_radius,valley_distance_dex,novelty_raw,priority_score,science_case
5078.01,5078,9.7119,51.365399,13.507488,1.47339,1.5110224,545.9,1346.0,408.0,2.1166711163056253,0.15733566559944687,0.6222282024012958,62.94719948052484,general_demographic_gain
2392.02,2392,10.3998,83.783703,-64.11662,2.96344,3.4072141,2770.93,2021.0,315.0,2.5225885884328743,0.06994971185737914,0.846863216277759,62.81397052769131,general_demographic_gain
2467.01,2467,10.2712,65.717639,-12.677035,1.7738475,1.7556616,486.2678796,1197.6740653,444.0879481,2.0903927780000777,0.07131161606483999,0.5716010980887402,62.478954119573594,general_demographic_gain
133.01,133,9.9762,354.397374,-58.955078,1.9226211,8.1995368,26.2353114,577.2199136,903.3694431,1.525067912626821,0.10060452057908995,0.46758244274936656,62.37884884980568,temperate_sub_neptune
790.02,790,8.9914,123.39778,-64.090901,2.4013155,41.0175174,62.4617543,717.0068321,229.2846536,1.6748448154155495,0.1564746509532429,0.8352243402529487,62.21975115984196,temperate_sub_neptune
1466.01,1466,11.0278,307.396532,61.550725,2.40733,1.8718991,167.099,1001.0,920.0,1.8626361316018605,0.11140760483302176,0.7563881191348651,62.2181805324673,temperate_sub_neptune
2522.01,2522,9.1239,107.118513,-12.147866,1.66554,2.0988541,2840.05,2033.0,350.0,2.5293098680987596,0.18144697115298666,0.6544052290952375,62.04704000411174,general_demographic_gain
2273.01,2273,8.75584,81.240221,79.74934,2.1305645,46.5710978,27.1915284,582.409103,328.3531481,1.5309755382847816,0.143526434765392,0.5679569051025802,62.02463771392359,temperate_sub_neptune
4643.01,4643,10.6127,32.217966,4.306928,1.4655752,5.0256637,23.1770314,559.6083706,650.1415697,1.5047899795288384,0.011467783171351165,0.5308012682432849,61.8389599259219,radius_valley_probe
5630.01,5630,10.3331,236.453853,40.374862,2.0774,3.2220038,937.884,1541.0,536.0,2.244070558719247,0.03351638072741919,0.5124667843624546,61.62713641125196,radius_valley_probe
4460.01,4460,10.3859,19.91003,85.13439,3.15161,28.6648749,117.442,917.0,1025.0,1.7930329828086926,0.24494419134309509,1.0750815231220971,61.48913738937433,temperate_sub_neptune
6966.01,6966,10.6839,61.131862,16.216647,2.9108183,2.1659522,1867.8804075,1676.7063776,431.2815173,2.417403380219304,0.08066597158047767,0.7271740648226973,61.359973692128776,general_demographic_gain
6657.01,6657,8.5861,264.966891,-50.574825,2.57627,4.0610981,306.57,1165.0,558.0,1.988800359378415,0.11240018652347683,0.4481147515851352,61.26862287744055,general_demographic_gain
