pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_insol,pl_eqt,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist,sy_jmag,sy_hmag,sy_kmag,log_period,log_radius,log_insol,log_teff
Kepler-62 b,Kepler-62,2013.0,Transit,5.714932,1.31,80.326,750.0,0.043,2.31,4925.0,0.64,0.69,-0.37,300.874,12.256,11.739,11.659,0.7570110672421554,0.11727129565576427,1.9048561409061397,3.6924062348336304
Kepler-59 b,Kepler-59,2012.0,Transit,11.8681707,1.1,187.51,864.0,0.01019,5.977,6074.0,0.94,1.04,-0.2,1163.22,13.253,12.974,12.928,1.0743837841509487,0.04139268515822508,2.2730244338184646,3.7834747875822465
Kepler-53 b,Kepler-53,2012.0,Transit,18.6489525,2.89,60.997,701.0,0.08936,4.4815,5858.0,0.89,0.98,0.0,1366.07,14.252,13.906,13.807,1.270654442780313,0.4608978427565479,1.785308475740523,3.76774936734558
Kepler-69 b,Kepler-69,2013.0,Transit,13.722341,2.24,123.517,779.0,0.0597,5.126,5638.0,0.93,0.81,-0.29,730.625,12.631,12.284,12.234,1.1374282073368607,0.35024801833416286,2.09172673490821,3.7511250715355837
Kepler-65 d,Kepler-65,2012.0,Transit,8.13123,1.52,394.549,1117.0,0.0098,4.1,6211.0,1.41,1.25,0.17,303.728,10.066,9.852,9.806,0.9101562456934776,0.18184358794477254,2.5961009469830167,3.793161529245551
Kepler-52 c,Kepler-52,2012.0,Transit,16.3850021,1.84,8.55,433.0,0.11655,3.1252,4075.0,0.52,0.54,0.0,321.542,13.153,12.507,12.36,1.21444650138018,0.2648178230095365,0.9319661147281727,3.6101276130759956
Kepler-55 b,Kepler-55,2012.0,Transit,27.9481449,2.43,6.642,400.0,0.09425,3.4932,4362.0,0.58,0.62,-0.01,578.796,13.97,13.359,13.289,1.4463529862320585,0.38560627359831223,0.8222988712623664,3.6396856612426816
Kepler-50 c,Kepler-50,2012.0,Transit,9.37647,2.17,388.444,1125.0,0.0159,2.06,6225.0,1.58,1.24,0.03,250.11,9.518,9.25,9.197,0.9720393684362427,0.3364597338485295,2.5893284176183147,3.794139355767774
Kepler-186 b,Kepler-186,2014.0,Transit,3.8867907,1.07,37.372,571.0,0.05142,1.8098,3788.0,0.472,0.478,-0.28,177.594,12.473,11.824,11.605,0.5895911549141583,0.029383777685209667,1.5725463401756126,3.578409970331236
Kepler-27 b,Kepler-27,2011.0,Transit,15.3348,4.0,28.681,610.0,0.30814,3.47,5400.0,0.59,0.65,0.41,1044.36,14.484,14.026,14.118,1.1856781161865972,0.6020599913279624,1.4575942894961356,3.7323937598229686
Kepler-186 d,Kepler-186,2014.0,Transit,13.342996,1.4,7.204,379.0,0.08728,2.9002,3788.0,0.472,0.478,-0.28,177.594,12.473,11.824,11.605,1.1252533558308244,0.146128035678238,0.8575737041474957,3.578409970331236
Kepler-11 d,Kepler-11,2010.0,Transit,22.6845,3.12,51.115,653.0,0.0885,5.586,5663.0,1.065,0.961,0.05,646.346,12.548,12.237,12.18,1.3557292112134942,0.4941545940184428,1.7085483651305609,3.753046561626529
Kepler-11 b,Kepler-11,2010.0,Transit,10.3039,1.8,146.36,849.0,0.03013,4.116,5663.0,1.065,0.961,0.05,646.346,12.548,12.237,12.18,1.013001635180825,0.25527250510330607,2.16542240081457,3.753046561626529
