toi,toipfx,tfopwg_disp,pl_pnum,st_tmag,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_rad,log_period,log_radius,log_insol,log_teff
703.01,703,PC,1,10.2036,57.999823,-59.882442,8.6729683,2.9598885,724.6732153,2.28271,114.2649808,833.8694004,5384.0,0.91,0.9381677590318244,0.3584507413633891,2.057913150993648,3.7311050512159203
703.02,703,PC,2,10.2036,57.999823,-59.882442,22.5682711,4.9745502,869.846616,2.479501,31.9256027,606.2538727,5384.0,0.852304,1.3534982901150023,0.3943642877811494,1.5041391047393227,3.7311050512159203
705.01,705,PC,1,11.4994,106.477148,-72.558765,47.0196372,5.8659335,1251.7456152,3.1012834,8.6423925,437.2987599,5249.18,0.877877,1.6722792738181442,0.49154145454188114,0.9366339861956808,3.720091465446062
707.01,707,PC,1,10.0906,98.729589,-67.537274,52.7993058,6.11948,541.2696023,2.3982714,10.9718358,464.183367,5409.22,1.02101,1.7226282125108712,0.3798983284095802,1.040279299507817,3.7331346451216776
711.01,711,PC,1,11.7481,62.516131,-61.942668,18.3841259,3.4924479,1010.0989222,2.1505216,10.4112654,458.1372754,4356.0,0.681407,1.2644429855330723,0.33254380899831726,1.0175035174873972,3.6390878710837375
711.02,711,PC,2,11.7481,62.516131,-61.942668,35.9432773,2.7244261,1178.967443,2.7375059,4.2586368,366.384759,4356.0,0.681407,1.5556176734522782,0.43735506386084394,0.6292706026278876,3.6390878710837375
713.01,713,PC,1,10.6925,102.021376,-65.624257,35.9993588,4.1814011,1086.7362497,2.2253394,3.7788536,355.5983746,4316.7,0.651075,1.5562947654311274,0.3473962572523155,0.5773600668458968,3.635151867310003
713.02,713,PC,2,10.6925,102.021376,-65.624257,1.8715209,1.0213466,255.7891339,1.0618157,194.7571992,952.7810913,4316.7,0.651075,0.27219468141249775,0.026049142527983352,2.289493520337139,3.635151867310003
714.01,714,PC,1,11.5436,92.392417,-53.822988,4.3239329,1.5783127,977.2224915,1.5008877,23.7735564,563.1748972,3782.0,0.473141,0.6358789458303373,0.176348198509184,1.3760941547766972,3.577721524509021
714.02,714,PC,2,11.5436,92.392417,-53.822988,10.1775475,2.0401655,943.2876093,1.5705443,7.5929156,423.3717664,3782.0,0.473141,1.0076431379676494,0.19605019095687767,0.8804085724502873,3.577721524509021
721.01,721,PC,1,10.1805,63.199385,-64.347805,12.2877358,4.445,315.0,2.09232,127.181,935.0,6008.62,1.3,1.0894718649729482,0.32062810639327116,2.104422235435883,3.7787747390238016
722.01,722,PC,1,11.9755,62.379568,-62.850656,15.3004892,3.1952319,1265.2897827,2.3968761,17.0816408,518.5040418,4082.0,0.660762,1.1847053166649246,0.3796455849401865,1.23252958509774,3.6108730003800518
723.01,723,PC,1,10.0686,103.243335,-70.641686,1.4178596,1.452,204.0,1.10894,452.395,1284.0,4907.96,0.76,0.15163322805148693,0.04490804896806361,2.6555177963320884,3.690901014558213
724.01,724,PC,1,9.7333,112.555258,-58.53966,3.21264,0.6006982,510.1236296,2.0575829,327.7849685,1085.2180486,5330.0,0.88283,0.5068620623790874,0.3133573419583096,2.5155890338983466,3.7267272090265724
727.01,727,PC,1,11.0002,130.736931,-2.498585,4.7244442,0.999,1480.0,1.97562,6.29202,441.0,3653.0,0.5,0.674350723941382,0.2957034140503896,0.7987900944146684,3.5626496722119168
761.01,761,PC,1,10.9217,179.262998,-38.104794,10.5557332,2.8163532,1505.7221535,2.7774832,16.7317515,515.8282237,4368.0,0.68476,1.0234884047355752,0.44365144072924656,1.223541405814152,3.640282629696681
783.01,783,PC,1,9.9222,172.155637,-54.784223,8.1125147,2.0330298,1224.9160656,2.3812033,32.9624198,611.1172195,4498.94,0.668361,0.909155496757344,0.3767964757488562,1.518019086132251,3.653110201246769
785.01,785,PC,1,11.5026,88.33729,-65.6335,18.6286102,30.0156194,570.252799,1.6416264,4.285092,366.9524462,3783.0,0.561301,1.2701804552727467,0.21527432764354665,0.6319601505680661,3.577836341292744
786.01,786,PC,1,9.8192,100.104215,-63.339108,12.6693786,4.818,321.0,2.30678,562.492,1356.0,5853.8,1.31,1.1027553143933726,0.363006177381095,2.7501163501068455,3.7674378803150317
786.02,786,PC,2,9.8192,100.104215,-63.339108,38.5537648,6.071,329.0,2.14038,20.9962,596.0,5853.8,1.31,1.5860667935940294,0.33049088421484146,1.3221407010023085,3.7674378803150317
787.01,787,PC,1,9.4799,87.116029,-56.004119,2.1263165,2.6285127,137.5302097,1.7757918,2396.4201609,1784.4750934,6623.0,1.31556,0.32762790928090785,0.24939204623339914,3.379562964620042,3.8210547550468883
789.01,789,PC,1,11.9802,115.270225,-71.303764,5.4470648,1.583301,862.2586997,1.1245064,9.5471336,448.3198817,3471.0,0.37114,0.7361625418079277,0.05096193151622601,0.9798730000066972,3.540454613671412
789.02,789,PC,2,11.9802,115.270225,-71.303764,12.9707041,2.2669808,1208.7896248,1.3280332,3.0024214,335.728076,3471.0,0.37114,1.1129635519086687,0.12320893225833147,0.47747164688490573,3.540454613671412
789.03,789,PC,3,11.9802,115.270225,-71.303764,8.0432343,2.0067185,878.9302211,1.2872781,5.6778261,393.6998701,3471.0,0.37114,0.9054307199166446,0.10967238081913516,0.7541820868571579,3.540454613671412
790.02,790,PC,2,8.9914,123.39778,-64.090901,41.0175174,8.2090013,229.2846536,2.4013155,62.4617543,717.0068321,6988.0,1.4608001,1.6129693709980053,0.3804492241583916,1.7956141776545127,3.8443528963108933
794.01,794,PC,1,10.0176,106.664922,-71.446827,52.4072665,8.7541225,372.4627072,3.3054594,40.8156414,644.6535906,6270.01,1.59084,1.7193915080154012,0.5192318272164657,1.6108266256373986,3.79726823348484
795.01,795,PC,1,10.2477,100.970374,-55.639,8.7609906,0.9094562,479.6082016,2.9253441,288.3684545,1051.00961,6168.88,1.3109699,0.9425532143633938,0.46617695826152633,2.459947749854965,3.790206322222467
